Date,O3
12/31/2016 18:00,0.025
12/31/2016 17:00,0.024
12/31/2016 5:00,0.014
12/31/2016 2:00,0.019
12/30/2016 23:00,0.014
12/30/2016 15:00,0.023
12/30/2016 14:00,0.023
12/30/2016 13:00,0.023
12/30/2016 2:00,0.021
12/29/2016 11:00,0.018
12/29/2016 10:00,0.021
12/29/2016 8:00,0.001
12/28/2016 8:00,0.015
12/27/2016 15:00,0.028
12/27/2016 13:00,0.026
12/27/2016 10:00,0.01
12/27/2016 9:00,0.008
12/27/2016 5:00,0.016
12/27/2016 4:00,0.021
12/27/2016 0:00,0.022
12/26/2016 16:00,0.012
12/26/2016 15:00,0.015
12/26/2016 9:00,0.019
12/26/2016 3:00,0.015
12/26/2016 1:00,0.023
12/25/2016 21:00,0.02
12/25/2016 19:00,0.017
12/25/2016 18:00,0.019
12/25/2016 16:00,0.03
12/25/2016 12:00,0.033
12/25/2016 3:00,0.026
12/25/2016 1:00,0.027
12/24/2016 22:00,0.028
12/23/2016 17:00,0.011
12/23/2016 16:00,0.011
12/23/2016 13:00,0.028
12/23/2016 11:00,0.029
12/23/2016 5:00,0.019
12/23/2016 3:00,0.027
12/23/2016 0:00,0.025
12/22/2016 20:00,0.017
12/22/2016 15:00,0.02
12/22/2016 5:00,0
12/22/2016 2:00,0.001
12/22/2016 1:00,0
12/21/2016 20:00,0.001
12/21/2016 19:00,0.001
12/21/2016 11:00,0.011
12/21/2016 8:00,0.002
12/21/2016 4:00,0.004
12/21/2016 2:00,0.003
12/21/2016 0:00,0.003
12/20/2016 23:00,0.004
12/20/2016 21:00,0.001
12/20/2016 20:00,0.002
12/20/2016 15:00,0.002
12/20/2016 14:00,0.006
12/20/2016 13:00,0.012
12/20/2016 11:00,0.021
12/20/2016 6:00,0.006
12/20/2016 5:00,0.012
12/20/2016 4:00,0.016
12/19/2016 20:00,0.024
12/19/2016 17:00,0.025
12/19/2016 15:00,0.027
12/19/2016 9:00,0.027
12/19/2016 8:00,0.024
12/19/2016 5:00,0.026
12/18/2016 23:00,0.028
12/18/2016 17:00,0.026
12/18/2016 16:00,0.021
12/18/2016 11:00,0.004
12/18/2016 10:00,0.005
12/18/2016 9:00,0.001
12/17/2016 22:00,0
12/17/2016 21:00,0
12/17/2016 18:00,0
12/17/2016 15:00,0.002
12/17/2016 14:00,0.004
12/17/2016 12:00,0.003
12/17/2016 9:00,0.006
12/17/2016 8:00,0.006
12/17/2016 2:00,0.012
12/17/2016 1:00,0.012
12/17/2016 0:00,0.01
12/16/2016 19:00,0.005
12/16/2016 17:00,0.008
12/16/2016 16:00,0.007
12/16/2016 15:00,0.013
12/16/2016 14:00,0.022
12/16/2016 11:00,0.021
12/16/2016 10:00,0.02
12/16/2016 8:00,0.013
12/16/2016 1:00,0.022
12/15/2016 23:00,0.023
12/15/2016 22:00,0.022
12/15/2016 21:00,0.024
12/15/2016 20:00,0.024
12/15/2016 16:00,0.029
12/15/2016 15:00,0.031
12/15/2016 9:00,0.026
12/15/2016 5:00,0.029
12/15/2016 4:00,0.03
12/15/2016 2:00,0.022
12/14/2016 23:00,0.019
12/14/2016 22:00,0.019
12/14/2016 19:00,0.021
12/14/2016 17:00,0.015
12/14/2016 16:00,0.019
12/14/2016 8:00,0.015
12/14/2016 5:00,0.001
12/14/2016 4:00,0
12/14/2016 3:00,0
12/14/2016 2:00,0.001
12/14/2016 1:00,0.003
12/14/2016 0:00,0.002
12/13/2016 23:00,0.001
12/13/2016 22:00,0.003
12/13/2016 21:00,0.001
12/13/2016 20:00,0.001
12/13/2016 19:00,0.002
12/13/2016 18:00,0.001
12/13/2016 16:00,0.001
12/13/2016 15:00,0.004
12/13/2016 14:00,0.009
12/13/2016 13:00,0.016
